Movement Activity,Fall Detected (Yes/No),Location,Hour,Day_of_Week
Sitting,No,Bathroom,1,5
No Movement,No,Bathroom,9,6
No Movement,Yes,Kitchen,22,4
Walking,No,Kitchen,6,2
Sitting,No,Bedroom,8,0
Lying,No,Bathroom,13,4
No Movement,Yes,Living Room,22,4
No Movement,No,Living Room,19,1
Sitting,No,Kitchen,9,3
Walking,No,Bathroom,6,0
Sitting,No,Living Room,15,4
Lying,No,Living Room,23,6
No Movement,No,Bedroom,21,0
Sitting,No,Living Room,2,3
Lying,No,Living Room,3,5
No Movement,No,Living Room,3,4
No Movement,Yes,Bedroom,16,3
Sitting,No,Bathroom,18,4
Sitting,No,Bathroom,1,4
Walking,No,Living Room,0,1
Lying,No,Living Room,8,3
Walking,No,Bedroom,18,2
Walking,No,Bathroom,6,1
Lying,No,Kitchen,23,5
Sitting,No,Kitchen,22,2
Lying,No,Bathroom,3,6
No Movement,No,Bedroom,22,5
Lying,No,Bedroom,12,2
Sitting,No,Bedroom,23,4
Lying,No,Bathroom,10,3
Sitting,No,Living Room,17,1
Sitting,No,Bathroom,1,0
No Movement,Yes,Kitchen,0,5
Sitting,No,Bathroom,13,1
No Movement,No,Living Room,12,0
Sitting,No,Bedroom,14,2
Lying,No,Bathroom,23,3
Sitting,No,Bathroom,6,3
Walking,No,Bathroom,19,5
Sitting,No,Living Room,12,3
Walking,No,Living Room,23,3
Lying,No,Bathroom,14,4
Walking,No,Bedroom,17,1
Sitting,No,Bedroom,18,0
Lying,No,Kitchen,13,0
Walking,No,Bathroom,15,5
Lying,No,Bathroom,2,6
Sitting,No,Kitchen,15,6
Lying,No,Bedroom,19,6
Sitting,No,Bedroom,20,0
No Movement,No,Bathroom,20,2
Walking,No,Bedroom,3,5
No Movement,No,Bedroom,8,5
Walking,No,Bathroom,17,2
No Movement,No,Bedroom,17,4
Sitting,No,Kitchen,16,0
Sitting,No,Kitchen,14,0
Sitting,No,Bathroom,14,2
Lying,No,Kitchen,17,6
Walking,No,Living Room,21,3
Lying,No,Bathroom,17,0
Walking,No,Bedroom,13,0
Walking,No,Bathroom,10,6
No Movement,Yes,Living Room,20,4
Walking,No,Bedroom,1,3
No Movement,No,Bedroom,4,6
Sitting,No,Bedroom,22,0
Lying,No,Living Room,21,3
Walking,No,Bedroom,0,2
Sitting,No,Bathroom,1,1
Lying,No,Living Room,16,3
Lying,No,Bedroom,6,6
Sitting,No,Kitchen,20,1
Lying,No,Kitchen,16,0
Lying,No,Kitchen,5,3
Sitting,No,Living Room,20,0
Walking,No,Kitchen,19,1
Walking,No,Living Room,20,0
Sitting,No,Bedroom,4,6
No Movement,No,Bedroom,10,1
Lying,No,Kitchen,12,4
Lying,No,Bedroom,9,5
Sitting,No,Kitchen,18,1
Sitting,No,Kitchen,21,4
Sitting,No,Living Room,7,0
Walking,No,Bathroom,1,3
Walking,No,Bathroom,13,0
Sitting,No,Bedroom,14,1
Sitting,No,Bathroom,5,2
Walking,No,Bathroom,8,2
Sitting,No,Bedroom,4,0
Lying,No,Kitchen,14,1
Walking,No,Bedroom,20,0
Walking,No,Bedroom,0,6
No Movement,No,Bedroom,20,4
Lying,No,Bathroom,2,5
Sitting,No,Bedroom,19,4
Walking,No,Living Room,9,3
Lying,No,Kitchen,14,1
Sitting,No,Bathroom,1,0
No Movement,No,Bathroom,10,4
Lying,No,Bedroom,7,3
Sitting,No,Kitchen,2,4
Lying,No,Bedroom,1,1
Walking,No,Living Room,20,5
Walking,No,Bathroom,20,3
Walking,No,Bedroom,13,0
No Movement,No,Living Room,1,4
No Movement,No,Bathroom,4,0
Lying,No,Kitchen,13,5
Walking,No,Kitchen,6,3
Walking,No,Kitchen,3,3
No Movement,No,Bedroom,19,1
Walking,No,Bathroom,14,3
No Movement,No,Bedroom,9,5
Lying,No,Living Room,8,1
Lying,No,Living Room,10,2
Lying,No,Bathroom,16,6
Lying,No,Bathroom,3,6
Sitting,No,Bedroom,8,4
Lying,No,Bathroom,14,4
Sitting,No,Bedroom,17,5
Sitting,No,Bathroom,20,0
No Movement,No,Kitchen,12,3
No Movement,Yes,Bedroom,6,1
Lying,No,Living Room,22,3
Sitting,No,Bathroom,20,1
Sitting,No,Living Room,6,1
Lying,No,Bedroom,9,0
Walking,No,Bedroom,6,2
Walking,No,Living Room,0,4
Sitting,No,Bathroom,0,4
Lying,No,Bathroom,22,2
No Movement,No,Living Room,3,2
No Movement,Yes,Bathroom,22,5
No Movement,No,Bedroom,13,2
Walking,No,Living Room,19,5
Walking,No,Bathroom,4,2
Lying,No,Bedroom,17,2
Walking,No,Bedroom,5,2
Sitting,No,Bedroom,13,5
Sitting,No,Bedroom,16,0
No Movement,No,Kitchen,12,0
Sitting,No,Bathroom,9,0
Walking,No,Bathroom,15,1
No Movement,No,Living Room,6,6
Lying,No,Living Room,5,5
Walking,No,Bedroom,11,4
No Movement,No,Kitchen,19,2
Walking,No,Bedroom,23,6
Walking,No,Bathroom,20,4
Sitting,No,Bathroom,11,0
Lying,No,Bathroom,18,2
No Movement,No,Bedroom,9,0
Walking,No,Bedroom,13,0
Lying,No,Bathroom,18,1
Walking,No,Kitchen,10,6
No Movement,No,Kitchen,6,1
Walking,No,Bathroom,11,5
Walking,No,Bathroom,13,2
No Movement,No,Living Room,1,4
Walking,No,Bathroom,6,1
No Movement,Yes,Kitchen,16,3
Walking,No,Bathroom,12,0
Lying,No,Bedroom,17,0
No Movement,No,Bathroom,11,2
No Movement,No,Kitchen,4,3
Lying,No,Kitchen,12,6
Walking,No,Living Room,14,4
Lying,No,Kitchen,15,3
Walking,No,Bedroom,11,0
Lying,No,Bathroom,16,3
Lying,No,Bedroom,20,5
Lying,No,Bathroom,21,6
Sitting,No,Living Room,17,3
Sitting,No,Living Room,21,5
Sitting,No,Bathroom,1,4
Lying,No,Bedroom,22,4
Lying,No,Living Room,16,3
Lying,No,Bathroom,9,5
Sitting,No,Kitchen,4,4
No Movement,Yes,Kitchen,13,0
Walking,No,Bedroom,23,6
No Movement,No,Bedroom,14,6
Lying,No,Kitchen,4,3
Sitting,No,Bathroom,3,6
Lying,No,Bathroom,5,2
Lying,No,Bathroom,19,1
Lying,No,Kitchen,7,1
Lying,No,Living Room,2,5
Walking,No,Living Room,21,0
Sitting,No,Kitchen,22,0
Sitting,No,Living Room,7,3
No Movement,No,Kitchen,11,6
Sitting,No,Kitchen,19,2
No Movement,No,Bathroom,19,4
Walking,No,Bathroom,1,0
Sitting,No,Bathroom,6,5
No Movement,No,Living Room,16,6
Walking,No,Living Room,12,5
No Movement,Yes,Living Room,10,3
Sitting,No,Bathroom,23,4
No Movement,Yes,Bathroom,6,6
Sitting,No,Bedroom,21,0
Walking,No,Living Room,13,6
Walking,No,Bathroom,17,3
Walking,No,Living Room,21,3
Sitting,No,Kitchen,15,3
Walking,No,Bedroom,0,1
No Movement,No,Bedroom,19,5
Sitting,No,Kitchen,22,2
Lying,No,Kitchen,8,3
Sitting,No,Bathroom,5,1
Sitting,No,Bathroom,3,4
Walking,No,Bathroom,18,4
Walking,No,Living Room,6,3
Sitting,No,Bedroom,15,5
Walking,No,Kitchen,9,5
Sitting,No,Kitchen,4,1
Walking,No,Bathroom,8,3
Walking,No,Kitchen,1,0
Sitting,No,Bathroom,8,0
Sitting,No,Bedroom,5,4
Lying,No,Bedroom,14,6
Sitting,No,Living Room,23,0
Walking,No,Bedroom,1,6
Walking,No,Living Room,6,4
Lying,No,Bedroom,13,3
No Movement,No,Bedroom,16,5
Walking,No,Kitchen,3,0
Sitting,No,Kitchen,9,3
Sitting,No,Bathroom,17,3
Lying,No,Bedroom,7,6
Sitting,No,Bedroom,0,2
Sitting,No,Bedroom,19,0
No Movement,No,Kitchen,13,2
Walking,No,Bathroom,5,2
Lying,No,Bathroom,5,0
No Movement,No,Living Room,14,0
Walking,No,Kitchen,19,3
Sitting,No,Kitchen,15,6
Lying,No,Bathroom,6,2
Walking,No,Bedroom,8,0
Walking,No,Kitchen,3,2
Sitting,No,Bathroom,4,2
Lying,No,Kitchen,8,1
Walking,No,Living Room,11,1
Lying,No,Kitchen,15,2
No Movement,No,Living Room,20,4
Sitting,No,Living Room,12,3
Lying,No,Living Room,3,2
No Movement,No,Living Room,2,5
Lying,No,Kitchen,16,5
Walking,No,Living Room,15,3
Walking,No,Kitchen,6,0
Sitting,No,Living Room,9,5
Sitting,No,Kitchen,7,4
Sitting,No,Bathroom,20,6
Walking,No,Bedroom,7,4
No Movement,No,Bedroom,22,3
Walking,No,Kitchen,17,5
Sitting,No,Bedroom,1,6
Sitting,No,Kitchen,7,2
No Movement,Yes,Living Room,4,6
Lying,No,Living Room,15,3
Walking,No,Bathroom,19,6
Lying,No,Kitchen,18,0
Walking,No,Bedroom,9,2
Lying,No,Bathroom,9,4
No Movement,No,Living Room,23,0
Walking,No,Living Room,11,3
No Movement,No,Bedroom,20,4
Sitting,No,Bathroom,19,0
No Movement,No,Kitchen,7,0
No Movement,No,Living Room,2,1
Sitting,No,Living Room,3,3
No Movement,No,Kitchen,17,1
Lying,No,Bathroom,2,2
Lying,No,Bathroom,16,0
Sitting,No,Kitchen,18,4
Lying,No,Bathroom,9,1
No Movement,No,Kitchen,11,6
Walking,No,Kitchen,3,4
Sitting,No,Living Room,11,6
Lying,No,Living Room,7,1
Walking,No,Bedroom,6,2
Sitting,No,Bedroom,11,2
Lying,No,Bedroom,17,3
Sitting,No,Bedroom,13,3
Walking,No,Living Room,5,4
Walking,No,Bedroom,1,1
Walking,No,Kitchen,22,1
Walking,No,Bedroom,11,2
Sitting,No,Kitchen,16,0
Sitting,No,Bedroom,15,3
Lying,No,Kitchen,5,5
Lying,No,Bathroom,3,4
Lying,No,Living Room,19,5
Walking,No,Bedroom,5,2
Walking,No,Bathroom,8,4
Sitting,No,Bathroom,19,2
Lying,No,Bedroom,8,4
Walking,No,Bedroom,13,5
No Movement,No,Kitchen,19,0
Lying,No,Kitchen,9,6
Lying,No,Living Room,6,2
No Movement,No,Kitchen,3,1
Lying,No,Kitchen,16,6
No Movement,No,Living Room,9,1
Sitting,No,Bedroom,14,6
Walking,No,Bedroom,15,3
Sitting,No,Bedroom,12,6
Sitting,No,Bathroom,6,5
Lying,No,Bedroom,18,3
Sitting,No,Kitchen,20,4
No Movement,No,Kitchen,12,3
Sitting,No,Bathroom,11,3
No Movement,No,Bathroom,4,2
Lying,No,Bathroom,4,1
Sitting,No,Living Room,5,5
No Movement,No,Living Room,17,4
Walking,No,Kitchen,11,4
No Movement,No,Bathroom,9,2
No Movement,No,Bathroom,10,6
No Movement,No,Kitchen,9,6
Walking,No,Living Room,20,0
Walking,No,Kitchen,19,0
Lying,No,Living Room,22,5
Lying,No,Bathroom,23,1
Lying,No,Living Room,17,4
Sitting,No,Kitchen,8,1
Sitting,No,Living Room,14,5
Sitting,No,Kitchen,21,4
Lying,No,Living Room,5,6
Sitting,No,Bedroom,9,6
Lying,No,Living Room,18,6
Walking,No,Bedroom,9,2
Lying,No,Living Room,18,6
No Movement,No,Kitchen,13,0
Lying,No,Bedroom,3,4
Sitting,No,Kitchen,4,3
Sitting,No,Kitchen,10,6
Lying,No,Bedroom,21,2
Sitting,No,Bedroom,2,2
Walking,No,Bedroom,22,5
Sitting,No,Living Room,7,6
Sitting,No,Living Room,5,0
Lying,No,Kitchen,3,6
Sitting,No,Living Room,10,0
No Movement,No,Bathroom,14,5
Sitting,No,Bedroom,13,2
Walking,No,Living Room,5,3
No Movement,No,Living Room,0,5
Walking,No,Bedroom,20,1
No Movement,No,Bathroom,21,3
Sitting,No,Bathroom,12,1
No Movement,No,Living Room,7,0
Sitting,No,Bedroom,9,3
Walking,No,Bedroom,16,5
Sitting,No,Bathroom,12,2
No Movement,No,Bathroom,21,0
Lying,No,Bathroom,19,6
Sitting,No,Living Room,20,2
Walking,No,Bedroom,8,6
Sitting,No,Bedroom,12,4
Sitting,No,Kitchen,10,2
No Movement,No,Living Room,0,1
Sitting,No,Living Room,21,5
Sitting,No,Kitchen,19,6
No Movement,Yes,Bedroom,23,0
No Movement,Yes,Bathroom,20,1
No Movement,No,Bedroom,14,4
Lying,No,Bathroom,1,3
Lying,No,Kitchen,16,1
Sitting,No,Living Room,14,2
Walking,No,Living Room,2,0
Lying,No,Bedroom,3,6
Sitting,No,Kitchen,7,0
Lying,No,Bedroom,19,5
Sitting,No,Bathroom,2,4
No Movement,No,Living Room,7,4
Sitting,No,Living Room,18,6
No Movement,Yes,Bedroom,15,0
No Movement,No,Living Room,9,1
Sitting,No,Kitchen,13,2
Lying,No,Living Room,18,4
Lying,No,Bedroom,17,2
Lying,No,Bedroom,13,3
Sitting,No,Bedroom,12,3
Walking,No,Bathroom,8,2
Lying,No,Bedroom,16,6
Sitting,No,Living Room,17,4
Lying,No,Bathroom,20,6
No Movement,Yes,Living Room,16,1
Walking,No,Bedroom,11,0
Sitting,No,Kitchen,22,1
No Movement,No,Kitchen,7,5
Walking,No,Bathroom,14,2
Walking,No,Kitchen,14,5
Walking,No,Kitchen,10,4
No Movement,Yes,Bedroom,6,0
Lying,No,Bedroom,21,4
Lying,No,Bedroom,11,0
Lying,No,Bedroom,5,0
Walking,No,Bedroom,14,3
Sitting,No,Bedroom,5,4
Sitting,No,Bathroom,1,6
No Movement,Yes,Kitchen,22,0
Walking,No,Kitchen,23,6
Walking,No,Bedroom,5,1
Lying,No,Bedroom,16,2
Sitting,No,Living Room,3,2
Walking,No,Bedroom,6,2
No Movement,No,Bathroom,3,1
Walking,No,Bedroom,15,2
Sitting,No,Living Room,2,2
Walking,No,Bedroom,7,6
Lying,No,Bathroom,18,3
No Movement,No,Bedroom,23,1
Sitting,No,Living Room,0,5
Walking,No,Bathroom,6,6
Walking,No,Living Room,11,4
Walking,No,Living Room,15,1
Sitting,No,Bedroom,5,2
Lying,No,Bathroom,6,0
Sitting,No,Bathroom,3,3
Lying,No,Bathroom,12,4
Lying,No,Kitchen,17,2
No Movement,No,Bedroom,23,5
Walking,No,Living Room,22,6
Sitting,No,Kitchen,19,2
No Movement,No,Living Room,1,2
No Movement,No,Living Room,13,6
Sitting,No,Bathroom,13,3
Lying,No,Living Room,22,1
Sitting,No,Kitchen,7,5
Walking,No,Bedroom,20,1
Lying,No,Bathroom,7,4
Lying,No,Bedroom,16,5
Sitting,No,Bedroom,13,3
Walking,No,Kitchen,2,1
Sitting,No,Bedroom,7,2
Sitting,No,Bedroom,23,6
Sitting,No,Bedroom,11,6
No Movement,Yes,Bathroom,12,5
Walking,No,Kitchen,9,3
Walking,No,Bathroom,9,6
Sitting,No,Kitchen,8,6
Sitting,No,Kitchen,1,5
Lying,No,Kitchen,13,6
Lying,No,Kitchen,1,5
Sitting,No,Kitchen,4,6
Lying,No,Bedroom,3,4
Sitting,No,Kitchen,4,3
Walking,No,Bedroom,23,0
No Movement,No,Bedroom,6,1
Sitting,No,Bathroom,8,0
No Movement,No,Living Room,6,1
Sitting,No,Bedroom,19,6
Sitting,No,Bathroom,13,6
Lying,No,Kitchen,10,4
Sitting,No,Living Room,19,0
Lying,No,Living Room,16,2
Sitting,No,Living Room,3,2
Lying,No,Living Room,5,3
Sitting,No,Bedroom,8,6
Sitting,No,Bathroom,20,5
Walking,No,Living Room,11,0
No Movement,Yes,Kitchen,16,2
Sitting,No,Living Room,4,4
Walking,No,Living Room,22,4
No Movement,Yes,Living Room,4,3
Sitting,No,Bathroom,0,4
Lying,No,Bathroom,15,0
Walking,No,Kitchen,12,4
No Movement,No,Living Room,14,5
Lying,No,Bathroom,3,3
Lying,No,Bathroom,13,6
Sitting,No,Bedroom,20,1
Walking,No,Living Room,0,1
Sitting,No,Bedroom,19,0
Sitting,No,Kitchen,15,0
Sitting,No,Bathroom,3,6
Lying,No,Living Room,13,6
No Movement,No,Living Room,9,5
No Movement,Yes,Kitchen,9,6
Lying,No,Kitchen,3,6
Walking,No,Bedroom,13,3
No Movement,No,Living Room,14,5
Walking,No,Kitchen,15,0
No Movement,No,Kitchen,17,6
No Movement,Yes,Living Room,20,4
Sitting,No,Living Room,1,6
No Movement,No,Bathroom,7,0
Sitting,No,Bedroom,13,0
Lying,No,Kitchen,13,0
Walking,No,Bathroom,3,0
Walking,No,Kitchen,0,2
Sitting,No,Kitchen,9,4
Walking,No,Living Room,12,6
Lying,No,Living Room,11,5
Sitting,No,Kitchen,5,4
Lying,No,Kitchen,23,5
Sitting,No,Bathroom,6,5
Lying,No,Bathroom,4,3
No Movement,No,Bathroom,16,1
Lying,No,Bedroom,7,1
Sitting,No,Bedroom,5,3
Walking,No,Kitchen,12,0
Walking,No,Bathroom,5,3
Lying,No,Bedroom,2,2
Walking,No,Living Room,20,3
Walking,No,Kitchen,3,1
Sitting,No,Kitchen,3,4
Lying,No,Bathroom,10,4
No Movement,Yes,Bathroom,16,5
Sitting,No,Bedroom,10,0
Lying,No,Bedroom,3,5
Lying,No,Kitchen,6,3
No Movement,No,Living Room,11,3
Walking,No,Bathroom,17,3
Sitting,No,Bathroom,20,6
Sitting,No,Living Room,16,5
Walking,No,Living Room,8,3
Lying,No,Bathroom,23,6
No Movement,Yes,Living Room,11,3
Sitting,No,Kitchen,11,2
No Movement,Yes,Living Room,9,4
No Movement,No,Living Room,23,5
Sitting,No,Bedroom,4,3
No Movement,No,Living Room,18,5
Lying,No,Bedroom,7,0
Sitting,No,Bedroom,17,0
Lying,No,Bedroom,7,2
Lying,No,Living Room,4,5
Sitting,No,Bathroom,4,5
Lying,No,Living Room,1,1
Lying,No,Kitchen,8,1
No Movement,No,Kitchen,5,1
Sitting,No,Bedroom,9,1
Sitting,No,Bedroom,14,2
Sitting,No,Living Room,13,5
Walking,No,Living Room,14,3
No Movement,Yes,Kitchen,8,6
Sitting,No,Bathroom,21,2
Walking,No,Kitchen,5,1
Lying,No,Bathroom,7,0
Sitting,No,Kitchen,5,1
Lying,No,Bedroom,9,6
Sitting,No,Bedroom,21,4
No Movement,No,Bedroom,21,4
No Movement,No,Bathroom,18,1
No Movement,No,Bedroom,3,6
No Movement,No,Living Room,8,4
No Movement,No,Kitchen,0,5
Sitting,No,Bedroom,0,0
Lying,No,Living Room,3,1
No Movement,No,Kitchen,17,3
Sitting,No,Bathroom,20,0
Sitting,No,Bathroom,17,6
No Movement,Yes,Bathroom,20,1
Walking,No,Living Room,5,0
Lying,No,Bathroom,17,2
Lying,No,Living Room,15,2
Sitting,No,Kitchen,8,0
Lying,No,Bathroom,12,2
Sitting,No,Bedroom,2,2
Walking,No,Kitchen,23,3
Lying,No,Kitchen,14,3
Walking,No,Living Room,11,6
Walking,No,Bathroom,20,3
Lying,No,Bathroom,18,4
Sitting,No,Bedroom,10,2
No Movement,No,Living Room,4,5
Lying,No,Bathroom,16,0
Sitting,No,Living Room,17,1
Sitting,No,Living Room,1,6
Walking,No,Kitchen,22,2
Walking,No,Bedroom,23,2
No Movement,No,Bathroom,4,2
Lying,No,Bedroom,16,6
Walking,No,Bathroom,1,3
No Movement,No,Kitchen,15,1
Lying,No,Kitchen,12,5
Walking,No,Bathroom,17,6
Sitting,No,Living Room,21,5
Sitting,No,Bathroom,13,0
Walking,No,Living Room,21,6
Walking,No,Bathroom,17,3
Walking,No,Living Room,17,4
No Movement,No,Kitchen,12,4
Lying,No,Bedroom,2,2
No Movement,No,Bathroom,4,1
Sitting,No,Bathroom,15,2
Lying,No,Kitchen,5,6
Sitting,No,Bathroom,20,3
No Movement,Yes,Bedroom,2,4
Sitting,No,Bathroom,6,0
Sitting,No,Living Room,2,2
Lying,No,Bedroom,6,3
Walking,No,Living Room,23,6
Sitting,No,Bathroom,3,6
Sitting,No,Living Room,15,1
Sitting,No,Living Room,10,5
Lying,No,Bathroom,13,3
Walking,No,Bathroom,11,4
No Movement,No,Living Room,7,1
No Movement,No,Bathroom,7,1
No Movement,No,Bedroom,21,6
Walking,No,Kitchen,23,0
No Movement,No,Bathroom,3,2
Lying,No,Kitchen,19,3
Sitting,No,Bedroom,5,4
No Movement,No,Bathroom,8,1
No Movement,No,Bedroom,21,2
Walking,No,Bedroom,19,1
Lying,No,Living Room,23,3
Lying,No,Kitchen,22,2
No Movement,No,Bathroom,21,0
Walking,No,Living Room,14,0
No Movement,No,Bedroom,12,4
Walking,No,Kitchen,21,3
Walking,No,Bedroom,17,6
Lying,No,Bathroom,6,0
No Movement,No,Bathroom,0,1
No Movement,No,Kitchen,17,5
Walking,No,Living Room,23,5
Walking,No,Bathroom,21,3
Lying,No,Kitchen,5,3
Lying,No,Bedroom,16,6
Lying,No,Kitchen,14,2
Lying,No,Bathroom,17,5
Walking,No,Bathroom,7,2
Walking,No,Bathroom,5,3
Walking,No,Kitchen,19,6
No Movement,No,Bedroom,5,3
Walking,No,Living Room,9,2
Lying,No,Kitchen,2,5
No Movement,No,Bathroom,17,1
Lying,No,Bathroom,3,4
Lying,No,Bathroom,4,2
Lying,No,Kitchen,13,0
No Movement,No,Living Room,0,3
Lying,No,Living Room,8,0
Lying,No,Bedroom,20,2
Walking,No,Bedroom,15,6
Walking,No,Bedroom,5,0
No Movement,No,Kitchen,1,1
No Movement,No,Living Room,16,0
No Movement,No,Bathroom,8,0
Lying,No,Bathroom,5,3
Sitting,No,Bathroom,4,2
Walking,No,Bathroom,2,0
Walking,No,Living Room,13,2
Sitting,No,Bedroom,17,3
Lying,No,Bathroom,1,1
Walking,No,Bathroom,13,2
No Movement,Yes,Bathroom,10,0
Lying,No,Living Room,10,4
Walking,No,Bedroom,15,1
Lying,No,Kitchen,18,2
Sitting,No,Living Room,15,6
No Movement,No,Living Room,15,3
No Movement,No,Living Room,0,5
No Movement,No,Bedroom,20,2
Walking,No,Living Room,21,2
Walking,No,Kitchen,0,4
Lying,No,Bedroom,2,1
Lying,No,Living Room,9,2
Lying,No,Living Room,11,1
No Movement,No,Kitchen,19,2
Lying,No,Living Room,0,4
Lying,No,Bedroom,6,1
Lying,No,Kitchen,3,3
Lying,No,Bedroom,1,6
Walking,No,Bathroom,5,3
Walking,No,Bedroom,18,1
Walking,No,Kitchen,19,6
Lying,No,Kitchen,20,0
Lying,No,Bathroom,22,0
Lying,No,Living Room,18,2
Lying,No,Bedroom,5,5
Walking,No,Living Room,11,4
Sitting,No,Bathroom,21,2
No Movement,No,Bathroom,14,2
No Movement,No,Kitchen,22,1
Walking,No,Bedroom,7,3
No Movement,No,Bathroom,12,4
Walking,No,Bedroom,9,0
No Movement,No,Kitchen,5,1
Lying,No,Bathroom,19,2
No Movement,No,Bathroom,18,4
Walking,No,Kitchen,16,0
Lying,No,Bathroom,3,3
Walking,No,Bathroom,11,3
Lying,No,Bathroom,6,0
No Movement,No,Living Room,22,3
Lying,No,Bathroom,19,4
No Movement,No,Bathroom,22,6
Walking,No,Kitchen,21,0
Lying,No,Bathroom,11,2
Lying,No,Bathroom,9,3
Lying,No,Bedroom,18,0
Walking,No,Living Room,0,3
Lying,No,Kitchen,9,3
Walking,No,Bedroom,21,3
Lying,No,Living Room,3,6
Sitting,No,Living Room,4,1
Lying,No,Bathroom,0,2
Walking,No,Living Room,2,3
No Movement,Yes,Kitchen,1,1
Walking,No,Bedroom,11,3
Lying,No,Bedroom,4,5
Walking,No,Bedroom,8,4
Lying,No,Kitchen,21,4
Lying,No,Bedroom,17,3
No Movement,No,Bathroom,20,0
Lying,No,Bathroom,22,6
Sitting,No,Living Room,22,2
No Movement,Yes,Bedroom,16,4
No Movement,No,Bathroom,14,4
Lying,No,Kitchen,11,0
Walking,No,Living Room,12,3
Lying,No,Living Room,19,4
Sitting,No,Bathroom,22,0
Walking,No,Bathroom,14,5
Walking,No,Bathroom,5,0
Walking,No,Living Room,10,5
Sitting,No,Living Room,22,6
No Movement,No,Bathroom,23,4
Sitting,No,Kitchen,6,3
Lying,No,Bedroom,7,4
No Movement,No,Kitchen,2,6
Lying,No,Bathroom,17,3
Walking,No,Bedroom,4,3
Walking,No,Bathroom,10,5
Lying,No,Living Room,8,6
Sitting,No,Bedroom,12,0
Sitting,No,Bathroom,1,0
Sitting,No,Kitchen,3,5
Sitting,No,Kitchen,20,1
Sitting,No,Bathroom,12,6
No Movement,Yes,Kitchen,23,0
Sitting,No,Kitchen,1,4
Sitting,No,Kitchen,3,6
Lying,No,Kitchen,21,1
No Movement,Yes,Living Room,6,3
Walking,No,Bedroom,8,4
Walking,No,Living Room,5,2
Lying,No,Living Room,16,3
No Movement,No,Bedroom,4,3
Lying,No,Bathroom,21,3
Sitting,No,Bedroom,2,0
Walking,No,Bedroom,13,0
No Movement,No,Bathroom,14,0
Walking,No,Bedroom,19,6
Walking,No,Bedroom,10,2
Walking,No,Bathroom,22,5
Lying,No,Bathroom,20,4
Walking,No,Bathroom,15,6
Sitting,No,Bathroom,10,4
Lying,No,Kitchen,12,2
No Movement,No,Bathroom,11,3
Lying,No,Bathroom,16,0
Sitting,No,Bathroom,5,0
No Movement,No,Living Room,11,0
Walking,No,Bedroom,5,2
No Movement,No,Bathroom,20,5
Walking,No,Bedroom,0,5
Walking,No,Living Room,15,5
Sitting,No,Bedroom,5,1
Walking,No,Bathroom,23,0
Lying,No,Bedroom,9,2
Lying,No,Living Room,13,1
Sitting,No,Living Room,21,0
No Movement,No,Bathroom,16,3
Lying,No,Bathroom,22,0
Walking,No,Bedroom,4,2
Lying,No,Bathroom,16,6
Lying,No,Bathroom,17,1
Sitting,No,Bathroom,1,2
Lying,No,Living Room,12,6
No Movement,No,Bedroom,19,3
Lying,No,Bathroom,8,5
Sitting,No,Kitchen,20,6
No Movement,No,Bathroom,23,3
Sitting,No,Bathroom,4,5
Lying,No,Bathroom,8,0
Walking,No,Kitchen,0,4
Sitting,No,Kitchen,14,6
Walking,No,Bedroom,7,0
Walking,No,Bedroom,7,0
Walking,No,Living Room,5,2
No Movement,No,Bedroom,9,3
No Movement,No,Kitchen,18,3
Lying,No,Bathroom,17,6
Walking,No,Kitchen,4,0
Walking,No,Kitchen,6,1
No Movement,No,Bathroom,8,3
Sitting,No,Bathroom,23,5
No Movement,No,Bedroom,10,1
Walking,No,Bathroom,19,4
Lying,No,Kitchen,18,6
Sitting,No,Bathroom,17,0
Lying,No,Bathroom,9,5
Lying,No,Bathroom,10,3
Lying,No,Bathroom,18,4
Lying,No,Bedroom,16,2
No Movement,No,Bathroom,15,2
Lying,No,Kitchen,13,4
Sitting,No,Living Room,19,4
Lying,No,Bedroom,12,2
Sitting,No,Living Room,2,2
Lying,No,Living Room,5,1
Walking,No,Bedroom,11,4
Walking,No,Bedroom,1,1
Walking,No,Kitchen,16,5
No Movement,No,Living Room,16,0
No Movement,No,Living Room,17,3
Sitting,No,Living Room,18,6
Lying,No,Kitchen,18,6
Walking,No,Living Room,18,4
Walking,No,Bathroom,4,5
Sitting,No,Bedroom,21,0
No Movement,No,Kitchen,20,4
Lying,No,Bathroom,1,1
Walking,No,Bathroom,1,2
Walking,No,Living Room,4,2
No Movement,No,Kitchen,17,0
Walking,No,Bedroom,9,2
Sitting,No,Kitchen,9,0
Walking,No,Kitchen,22,0
Lying,No,Living Room,6,2
Sitting,No,Living Room,2,6
Walking,No,Bathroom,18,3
Sitting,No,Bedroom,7,1
Lying,No,Kitchen,1,2
Sitting,No,Bedroom,2,1
Lying,No,Bathroom,6,5
No Movement,No,Bathroom,17,2
Lying,No,Living Room,12,3
Walking,No,Bedroom,17,3
Lying,No,Bedroom,1,2
Walking,No,Bathroom,16,6
Sitting,No,Bathroom,8,2
Walking,No,Bathroom,2,5
Lying,No,Bathroom,16,3
Walking,No,Bedroom,2,3
Lying,No,Bedroom,20,6
Walking,No,Bedroom,13,6
Walking,No,Kitchen,19,2
No Movement,Yes,Bedroom,12,3
Sitting,No,Bedroom,22,5
Sitting,No,Living Room,19,3
Lying,No,Bathroom,3,5
